Monitoring Location ID,Activity Type,Activity Start Date,Activity Start Time,Activity Depth/Height Measure,Activity Depth/Height Unit,Activity Relative Depth Name,Characteristic Name,Result Value,Result Unit,Quantitation Limit,QC Reference Value,Result Measure Qualifier,Result Attribute,Sample Collection Method ID,Project ID,Local Record ID,Result Comment
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,Salinity,0.12,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,Salinity,0.1,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,Salinity,0.1,PSU,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,Oxidation reducation potential (ORP),128,mV,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,Oxidation reducation potential (ORP),129,mV,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,Oxidation reducation potential (ORP),179,mV,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,Oxidation reducation potential (ORP),180,mV,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,Oxidation reducation potential (ORP),168,mV,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,Turbidity,2.3,NTU,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,Turbidity,1.5,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,Turbidity,2.3,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,Turbidity,1.5,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,Turbidity,1.8,NTU,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,Alkalinity,19,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,Alkalinity,18,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,Alkalinity,18,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,Alkalinity,13,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,Alkalinity,5,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,Ammonia,0,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,Ammonia,0.02,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,Ammonia,0.03,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,Ammonia,0.01,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,Ammonia,0.08,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,Nitrate ,2.3,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,Nitrate ,2.4,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,Nitrate ,2.1,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,Nitrate ,1.7,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,Nitrate ,1.3,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,Orthophosphate,0.14,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,Orthophosphate,0.16,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,Orthophosphate,0.16,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,Orthophosphate,0.1,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,Orthophosphate,2.5,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,3/26/2026,13:12,0.15,ft,Surface,Chloride,70,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,3/26/2026,13:32,0.15,ft,Surface,Chloride,50,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,3/26/2026,12:16,0.15,ft,Surface,Chloride,50,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,3/26/2026,12:43,0.15,ft,Surface,Chloride,35,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,3/26/2026,13:50,0.15,ft,Surface,Chloride,70,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,Air Temp,11.4,deg C,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,Air Temp,9.2,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,Air Temp,8.7,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,Air Temp,9.5,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0.15,ft,Surface,Air Temp,8.7,deg C,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,Water Temp,10.9,deg C,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,Water Temp,11.1,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,Water Temp,10,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,Water Temp,9.8,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0.15,ft,Surface,Water Temp,11.3,deg C,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,DO,8.96,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,DO,9.13,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,DO,10.69,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,DO,6.64,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0.15,ft,Surface,DO,9.44,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,DO saturation,118,%,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,DO saturation,81,%,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,DO saturation,90,%,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,DO saturation,58,%,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0.15,ft,Surface,DO saturation,84,%,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,pH,6.86,None,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,pH,6.98,None,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,pH,6.67,None,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,pH,6.8,None,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0.15,ft,Surface,pH,7.07,None,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,Conductivity,261,mS/cm,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,Conductivity,257,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,Conductivity,280,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,Conductivity,238,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0.15,ft,Surface,Conductivity,228,mS/cm,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,Salinity,0.13,PSU,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,Salinity,0.12,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,Salinity,0.13,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,Salinity,0.11,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0.15,ft,Surface,Salinity,0.11,PSU,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,Oxidation reducation potential (ORP),118,mV,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,Oxidation reducation potential (ORP),120,mV,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,Oxidation reducation potential (ORP),202,mV,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,Oxidation reducation potential (ORP),172,mV,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0.15,ft,Surface,Oxidation reducation potential (ORP),132,mV,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,Turbidity,0.2,NTU,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,Turbidity,1,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,Turbidity,0,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,Turbidity,1.2,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0.15,ft,Surface,Turbidity,0.9,NTU,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,Alkalinity,5,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,Alkalinity,24,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,Alkalinity,23,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,Alkalinity,33,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0.15,ft,Surface,Alkalinity,15,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,Ammonia,0.02,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,Ammonia,0.05,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,Ammonia,0.02,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,Ammonia,0.09,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0.15,ft,Surface,Ammonia,0.06,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,Nitrate ,1.5,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,Nitrate ,2.2,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,Nitrate ,3.3,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,Nitrate ,0.5,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0.15,ft,Surface,Nitrate ,0.2,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,Orthophosphate,0.18,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,Orthophosphate,0.18,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,Orthophosphate,0.16,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,Orthophosphate,0.21,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0.15,ft,Surface,Orthophosphate,0.02,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/9/2026,12:58,0.15,ft,Surface,Chloride,50,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/9/2026,13:36,0.15,ft,Surface,Chloride,80,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/9/2026,12:17,0.15,ft,Surface,Chloride,100,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/9/2026,12:42,0.15,ft,Surface,Chloride,80,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/9/2026,13:26,0,ft,Surface,Chloride,50,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/11/2026,13:00,0,ft,Surface,Freshwater Macroinvertebrates,9,None,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/11/2026,13:00,0,ft,Surface,Freshwater Macroinvertebrates,13,None,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/11/2026,13:00,0,ft,Surface,Freshwater Macroinvertebrates,13,None,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/11/2026,13:00,0,ft,Surface,Freshwater Macroinvertebrates,11,None,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/11/2026,13:00,0,ft,Surface,Freshwater Macroinvertebrates,15,None,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,Air Temp,21.6,deg C,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,Air Temp,20.5,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,Air Temp,22.9,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,Air Temp,21.9,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,Air Temp,15.8,deg C,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,Water Temp,14.4,deg C,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,Water Temp,14.7,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,Water Temp,12.8,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,Water Temp,14,deg C,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,Water Temp,14.1,deg C,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,DO,12.17,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,DO,11.51,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,DO,11.43,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,DO,9.87,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,DO,11.67,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,DO saturation,119,%,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,DO saturation,114,%,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,DO saturation,107,%,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,DO saturation,93,%,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,DO saturation,114,%,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,pH,7.01,None,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,pH,7.12,None,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,pH,6.72,None,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,pH,6.7,None,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,pH,7.17,None,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,Conductivity,254,mS/cm,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,Conductivity,251,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,Conductivity,383,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,Conductivity,245,mS/cm,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,Conductivity,232,mS/cm,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,Salinity,0.12,PSU,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,Salinity,0.12,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,Salinity,0.14,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,Salinity,0.12,PSU,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,Salinity,0.11,PSU,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,Oxidation reducation potential (ORP),124,mV,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,Oxidation reducation potential (ORP),123,mV,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,Oxidation reducation potential (ORP),213,mV,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,Oxidation reducation potential (ORP),152,mV,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,Oxidation reducation potential (ORP),137,mV,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,Turbidity,0.3,NTU,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,Turbidity,0,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,Turbidity,0.8,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,Turbidity,0.3,NTU,,,,,Grab-MassWateR,Freshwater,,
RMC3,Sample-Routine,4/23/2026,13:15,0.15,ft,Surface,Turbidity,0.4,NTU,,,,,Grab-MassWateR,Freshwater,,
PB1,Sample-Routine,4/23/2026,12:48,0.15,ft,Surface,Alkalinity,24,mg/l,,,,,Grab-MassWateR,Freshwater,,
PB2,Sample-Routine,4/23/2026,13:00,0.15,ft,Surface,Alkalinity,25,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC1,Sample-Routine,4/23/2026,12:10,0.15,ft,Surface,Alkalinity,11,mg/l,,,,,Grab-MassWateR,Freshwater,,
RMC2,Sample-Routine,4/23/2026,12:35,0.15,ft,Surface,Alkalinity,23,mg/l,,,,,Grab-MassWateR,Freshwater,,
